FECHA,LINEA,TURNO,EQUIPO,DAÑO,RAZON,TIEMPO,FRECUENCIA,AÑO,MES,,,,,,
15/09/2024,A2,,BANDA TRANSP. ENTRADA A LA ENCARTONADORA A2,Banda salida de la encartonadora averiada,Banda salida de la encartonadora averiada,15,1,2024,SEPTIEMBRE,,15/09/2024,A2,BANDA TRANSP. ENTRADA A LA ENCARTONADORA A2,Banda salida de la encartonadora averiada,Banda salida de la encartonadora averiada
15/09/2024,A2,,POSICIONADORA DE ENVASES A2,Daño en embrague y freno de la porsimat,Daño en embrague y freno de la porsimat,230,1,2024,SEPTIEMBRE,,15/09/2024,A2,POSICIONADORA DE ENVASES A2,Daño en embrague y freno de la porsimat,Daño en embrague y freno de la porsimat
15/09/2024,Bidones,,LLENADORA DE BIDONES N°1,Daño en manguera de aceite la llenadora a1,Daño en manguera de aceite la llenadora a1 grifo 2,20,1,2024,SEPTIEMBRE,,15/09/2024,Bidones,LLENADORA DE BIDONES N°1,Daño en manguera de aceite la llenadora a1,Daño en manguera de aceite la llenadora a1 grifo 2
15/09/2024,Jabonería Barranquilla,,CÁMARA DE VACIO L1,DAÑO EN TORNILLO PIÑON DEL MOTOR REDUCTOR,DAÑO EN TORNILLO PIÑON DEL MOTOR REDUCTOR,120,1,2024,SEPTIEMBRE,,15/09/2024,Jabonería Barranquilla,CÁMARA DE VACIO L1,DAÑO EN TORNILLO PIÑON DEL MOTOR REDUCTOR,DAÑO EN TORNILLO PIÑON DEL MOTOR REDUCTOR
15/09/2024,Jabonería Barranquilla,,CÁMARA DE VACIO L1,DAÑO TORNILLOS PIÑON REDUCTOR,DAÑO TORNILLOS PIÑON REDUCTOR,231,1,2024,SEPTIEMBRE,,15/09/2024,Jabonería Barranquilla,CÁMARA DE VACIO L1,DAÑO TORNILLOS PIÑON REDUCTOR,DAÑO TORNILLOS PIÑON REDUCTOR
15/09/2024,,,,LIMPIEZA,LIMPIEZA DE CABEZAL,20,1,2024,SEPTIEMBRE,,15/09/2024,Jabonería Barranquilla,CÁMARA DE VACIO L1,LIMPIEZA,LIMPIEZA DE CABEZAL
15/09/2024,SBO2F,,CHILLER NPR40,alta temperatura,se dispara chiller alfrio por alta temperatura apoyo mantenimiento,138,1,2024,SEPTIEMBRE,,15/09/2024,SBO2F,CHILLER NPR40,alta temperatura,se dispara chiller alfrio por alta temperatura apoyo mantenimiento
16/09/2024,Bidones,,BALANZAS LLENADORA N°1,Daño en báscula 1 de la llenadora,Daño en báscula 1 de la llenadora,29,1,2024,SEPTIEMBRE,,16/09/2024,Bidones,BALANZAS LLENADORA N°1,Daño en báscula 1 de la llenadora,Daño en báscula 1 de la llenadora
16/09/2024,Bidones,,BANDA TRANSPORTADORAS ENVASE - CEDIS,Daño en banda del puente BA-EM-BT14,Daño en banda del puente BA-EM-BT14,112,1,2024,SEPTIEMBRE,,16/09/2024,Bidones,BANDA TRANSPORTADORAS ENVASE - CEDIS,Daño en banda del puente BA-EM-BT14,Daño en banda del puente BA-EM-BT14
16/09/2024,Jabonería Barranquilla,,CODIFICADOR DE JABON,IMPRIME,LIMPIEZA DEL CABEZAL DE IMPRESION,60,1,2024,SEPTIEMBRE,,16/09/2024,Jabonería Barranquilla,CODIFICADOR DE JABON,IMPRIME,LIMPIEZA DEL CABEZAL DE IMPRESION
16/09/2024,Linea 1 Sólidos Barranquilla,,BANDAS TRANSPORTADORAS DE ENVASE - CEDIS,daño en ssitema de bandas,daño en sistema de bandas,30,1,2024,SEPTIEMBRE,,16/09/2024,Linea 1 Sólidos Barranquilla,BANDAS TRANSPORTADORAS DE ENVASE - CEDIS,daño en ssitema de bandas,daño en sistema de bandas
16/09/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),no arranca,disparo de contacto eléctricos,120,1,2024,SEPTIEMBRE,,16/09/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),no arranca,disparo de contacto eléctricos
16/09/2024,SBO6,,COMPRESOR DE ALTA 4-HA-6LT,se apaga,temperatura del agua alta dos ocaciones,40,1,2024,SEPTIEMBRE,,16/09/2024,SBO6,COMPRESOR DE ALTA 4-HA-6LT,se apaga,temperatura del agua alta dos ocaciones
16/09/2024,SBO6,,SOPLADORA SBO6,falta de energia,falla de energía,113,1,2024,SEPTIEMBRE,,16/09/2024,SBO6,SOPLADORA SBO6,falta de energia,falla de energía
17/09/2024,Krupp No1,,SOPLADORA KRUPP N°1,problemas en el fluido electrico externo,problemas en el fluido eléctrico externo,136,1,2024,SEPTIEMBRE,,17/09/2024,Krupp No1,SOPLADORA KRUPP N°1,problemas en el fluido electrico externo,problemas en el fluido eléctrico externo
17/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,problemas en el fluido eléctrico externo,problemas en el fluido eléctrico externo,167,1,2024,SEPTIEMBRE,,17/09/2024,Krupp No2,SOPLADORA KRUPP N°2,problemas en el fluido eléctrico externo,problemas en el fluido eléctrico externo
18/09/2024,A2,,BANDAS TRANSP. DE ENVASE - CEDIS,Ajuste de motoreductor BA-EM-A2-BT09,Ajuste de motoreductor BA-EM-A2-BT09,18,1,2024,SEPTIEMBRE,,18/09/2024,A2,BANDAS TRANSP. DE ENVASE - CEDIS,Ajuste de motoreductor BA-EM-A2-BT09,Ajuste de motoreductor BA-EM-A2-BT09
18/09/2024,Bidones,,BALANZAS LLENADORA N°2,Fuga de aceite por manguera de la llenadora A2,Fuga de aceite por manguera de la llenadora A2,81,1,2024,SEPTIEMBRE,,18/09/2024,Bidones,BALANZAS LLENADORA N°2,Fuga de aceite por manguera de la llenadora A2,Fuga de aceite por manguera de la llenadora A2
18/09/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,BASE JABON SE REGRESA DE COMPRESORA 3 A 2 Y CIERRE,DESGASTE MECANICO DE LOS TORNILLOS EXTRUSORAS,271,1,2024,SEPTIEMBRE,,18/09/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,BASE JABON SE REGRESA DE COMPRESORA 3 A 2 Y CIERRE,DESGASTE MECANICO DE LOS TORNILLOS EXTRUSORAS
18/09/2024,,,,limpieza de cabezal,limpieza de cabezal por fuga de material,16,1,2024,SEPTIEMBRE,,18/09/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,limpieza de cabezal,limpieza de cabezal por fuga de material
18/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,FUERTE FUGA DE ACEITE HIDRAULICO MANGUERRA AVERIAD,MANGUERA ROTA,260,1,2024,SEPTIEMBRE,,18/09/2024,Krupp No2,SOPLADORA KRUPP N°2,FUERTE FUGA DE ACEITE HIDRAULICO MANGUERRA AVERIAD,MANGUERA ROTA
18/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,fuga de aceite hidráulico en unas de las mangueras,fuga de aceite hidráulico en unas de las mangueras,98,1,2024,SEPTIEMBRE,,18/09/2024,Krupp No2,SOPLADORA KRUPP N°2,fuga de aceite hidráulico en unas de las mangueras,fuga de aceite hidráulico en unas de las mangueras
18/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,la presión hidráulica de la maquina no sube,la presión hidráulica de la maquina no sube,120,1,2024,SEPTIEMBRE,,18/09/2024,Krupp No2,SOPLADORA KRUPP N°2,la presión hidráulica de la maquina no sube,la presión hidráulica de la maquina no sube
18/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,se apaga el calentamiento cada vez que la maquina,se apaga el calentamiento cada vez que la maquina hace 1 o 2 ciclos,360,1,2024,SEPTIEMBRE,,18/09/2024,Krupp No2,SOPLADORA KRUPP N°2,se apaga el calentamiento cada vez que la maquina,se apaga el calentamiento cada vez que la maquina hace 1 o 2 ciclos
18/09/2024,Linea 1 Sólidos Barranquilla,,MOLDEADORA SIG L1,Daño mecánico en la máquina de vasos ( Pasador ),Daño mecánico en la máquina de vasos ( Pasador ),60,1,2024,SEPTIEMBRE,,18/09/2024,Linea 1 Sólidos Barranquilla,MOLDEADORA SIG L1,Daño mecánico en la máquina de vasos ( Pasador ),Daño mecánico en la máquina de vasos ( Pasador )
18/09/2024,Linea 1 Sólidos Barranquilla,,TABERO ELECTRICO PROCESO MARGARINAS,Daño eléctrico en el rele del freno de la máquina,Daño eléctrico en el rele del freno de la máquina,101,1,2024,SEPTIEMBRE,,18/09/2024,Linea 1 Sólidos Barranquilla,TABERO ELECTRICO PROCESO MARGARINAS,Daño eléctrico en el rele del freno de la máquina,Daño eléctrico en el rele del freno de la máquina
18/09/2024,Refinación Física Gianazza,,TABLERO ELÉCTRICO DEL PLC,LOS EQUIPOS SE APAGAN Y LAS VALVULAS ABREN/CIERRAN,FALSOS CONTACTOS POSIBLES EN EL TABLERO DEL PLC,175,1,2024,SEPTIEMBRE,,18/09/2024,Refinación Física Gianazza,TABLERO ELÉCTRICO DEL PLC,LOS EQUIPOS SE APAGAN Y LAS VALVULAS ABREN/CIERRAN,FALSOS CONTACTOS POSIBLES EN EL TABLERO DEL PLC
18/09/2024,SBO6,,SOPLADORA SBO6,Elctrovalvula,flla electrovalvula tobea 1,60,1,2024,SEPTIEMBRE,,18/09/2024,SBO6,SOPLADORA SBO6,Elctrovalvula,flla electrovalvula tobea 1
19/09/2024,A1,,LLENADORA DE ENVASES A1,Manguera salida del grifo de la llenadora,Ajuste de abrazaderas de la manguera,15,1,2024,SEPTIEMBRE,,19/09/2024,A1,LLENADORA DE ENVASES A1,Manguera salida del grifo de la llenadora,Ajuste de abrazaderas de la manguera
19/09/2024,Jabonería Barranquilla,,CÁMARA DE VACIO L1,PERDIDA DE VACÍO,FUGA POR RETENEDORES SUPERIORES EN CÁMARA DE VACÍO,138,1,2024,SEPTIEMBRE,,19/09/2024,Jabonería Barranquilla,CÁMARA DE VACIO L1,PERDIDA DE VACÍO,FUGA POR RETENEDORES SUPERIORES EN CÁMARA DE VACÍO
19/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,cuando la maquina esta en automatico y va cerrar e,se procede a hacer revisión del porque esa novedad y se encuentra que la válvula hidráulica seguridad bomba tenia un sucio metálico.,284,1,2024,SEPTIEMBRE,,19/09/2024,Krupp No2,SOPLADORA KRUPP N°2,cuando la maquina esta en automatico y va cerrar e,se procede a hacer revisión del porque esa novedad y se encuentra que la válvula hidráulica seguridad bomba tenia un sucio metálico.
19/09/2024,Refinación Física Gianazza,,FILTRO AMAFILTER N°2 (F3263),PASE EXCESIVO DE TIERRA,FILTRO F3263 CON PASE EXCESIVO DE TIERRA,142,1,2024,SEPTIEMBRE,,19/09/2024,Refinación Física Gianazza,FILTRO AMAFILTER N°2 (F3263),PASE EXCESIVO DE TIERRA,FILTRO F3263 CON PASE EXCESIVO DE TIERRA
19/09/2024,SBO2F,,SOPLADORA SBO2F,chiler disparado,falla chiler se apaga,90,1,2024,SEPTIEMBRE,,19/09/2024,SBO2F,SOPLADORA SBO2F,chiler disparado,falla chiler se apaga
19/09/2024,SBO2F,,SOPLADORA SBO2F,falla cilindro de bloqueo molde #2,cilindro mal estado,50,1,2024,SEPTIEMBRE,,19/09/2024,SBO2F,SOPLADORA SBO2F,falla cilindro de bloqueo molde #2,cilindro mal estado
19/09/2024,SBO2F,,SOPLADORA SBO2F,polipasto no responde al control de comandos,mtto interviene en la correccion del polipasto,15,1,2024,SEPTIEMBRE,,19/09/2024,SBO2F,SOPLADORA SBO2F,polipasto no responde al control de comandos,mtto interviene en la correccion del polipasto
20/09/2024,A1,,BANDA TRANSPORTADORAS ENVASE - CEDIS,DAÑO EN LA BANDA BA-EM-IG-BT-06,DAÑO EN LA BANDA BA-EM-IG-BT-06,45,1,2024,SEPTIEMBRE,,20/09/2024,A1,BANDA TRANSPORTADORAS ENVASE - CEDIS,DAÑO EN LA BANDA BA-EM-IG-BT-06,DAÑO EN LA BANDA BA-EM-IG-BT-06
20/09/2024,A1,,ETIQUETADORA A1,Daño en carrila de la etiquetadora puesto 12,Daño en carrila de la etiquetadora puesto 14,25,1,2024,SEPTIEMBRE,,20/09/2024,A1,ETIQUETADORA A1,Daño en carrila de la etiquetadora puesto 12,Daño en carrila de la etiquetadora puesto 14
20/09/2024,A2,,POSICIONADORA DE ENVASES A2,Daño en cabina de la posimat,Daño en cabina de la posimat,37,1,2024,SEPTIEMBRE,,20/09/2024,A2,POSICIONADORA DE ENVASES A2,Daño en cabina de la posimat,Daño en cabina de la posimat
20/09/2024,Jabonería Barranquilla,,COMPRESORA N°1 L1,no fluye la base jabón,desgaste del tornillo extrusor en la primera compresora,70,1,2024,SEPTIEMBRE,,20/09/2024,Jabonería Barranquilla,COMPRESORA N°1 L1,no fluye la base jabón,desgaste del tornillo extrusor en la primera compresora
20/09/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,SE LLENA LA CAMARA DE SECADO AL SUBIR FRECUENCIA A,DESGASTE MECANICO DE LOS TORNILLOS EXTRUSORES,54,1,2024,SEPTIEMBRE,,20/09/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,SE LLENA LA CAMARA DE SECADO AL SUBIR FRECUENCIA A,DESGASTE MECANICO DE LOS TORNILLOS EXTRUSORES
20/09/2024,,,,limpieza de cabezal,limpieza de cabezal por fuga de material,21,1,2024,SEPTIEMBRE,,20/09/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,limpieza de cabezal,limpieza de cabezal por fuga de material
20/09/2024,Krupp No1,,SOPLADORA KRUPP N°1,sensor apertura de reja derecha queda directo,sensor apertura de reja derecha queda directo,20,1,2024,SEPTIEMBRE,,20/09/2024,Krupp No1,SOPLADORA KRUPP N°1,sensor apertura de reja derecha queda directo,sensor apertura de reja derecha queda directo
20/09/2024,Linea 1 Sólidos Barranquilla,,BANDA TRANSPORTADORA DE ACEITES Y GRASAS,banda interna partida,banda interna partida,35,1,2024,SEPTIEMBRE,,20/09/2024,Linea 1 Sólidos Barranquilla,BANDA TRANSPORTADORA DE ACEITES Y GRASAS,banda interna partida,banda interna partida
20/09/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),PRESENTA FALLA DE ARRANQUE,PRESENTA FALLA DE ARRANQUE,103,1,2024,SEPTIEMBRE,,20/09/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),PRESENTA FALLA DE ARRANQUE,PRESENTA FALLA DE ARRANQUE
20/09/2024,SBO2F,,SOPLADORA SBO2F,Tornelas,problemas en el desenmangado de tornela,40,1,2024,SEPTIEMBRE,,20/09/2024,SBO2F,SOPLADORA SBO2F,Tornelas,problemas en el desenmangado de tornela
20/09/2024,SBO2F,,SOPLADORA SBO2F,desenmagngado de tornela,mantenimiento o arreglo de tornela de desenmgangado,56,1,2024,SEPTIEMBRE,,20/09/2024,SBO2F,SOPLADORA SBO2F,desenmagngado de tornela,mantenimiento o arreglo de tornela de desenmgangado
20/09/2024,SBO6,,SOPLADORA SBO6,compresores de baja,fuga de aire en la maquina,303,1,2024,SEPTIEMBRE,,20/09/2024,SBO6,SOPLADORA SBO6,compresores de baja,fuga de aire en la maquina
21/09/2024,A1,,CODIFICADOR DE CAJAS A1,Cabezal del Pinter fallando en la codificación,"Cabezal del Pinter fallando en la codificación, cambio de cabezal",30,1,2024,SEPTIEMBRE,,21/09/2024,A1,CODIFICADOR DE CAJAS A1,Cabezal del Pinter fallando en la codificación,"Cabezal del Pinter fallando en la codificación, cambio de cabezal"
21/09/2024,Bidones,,LLENADORA DE BIDONES N°2,fuga por manguera en llenadora,fuga por manguera en llenadora,25,1,2024,SEPTIEMBRE,,21/09/2024,Bidones,LLENADORA DE BIDONES N°2,fuga por manguera en llenadora,fuga por manguera en llenadora
21/09/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,SE LLENA LA CAMARA DE SECADO AL SUBIR FRECUENCIA A,DESGASTE MECANICO DE LOS TORNILLOS EXTRUSORES,244,2,2024,SEPTIEMBRE,,21/09/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,SE LLENA LA CAMARA DE SECADO AL SUBIR FRECUENCIA A,DESGASTE MECANICO DE LOS TORNILLOS EXTRUSORES
21/09/2024,Krupp No1,,SOPLADORA KRUPP N°1,cable sensor pnp calibrador,cable de sensor pnp calibrador partido,58,1,2024,SEPTIEMBRE,,21/09/2024,Krupp No1,SOPLADORA KRUPP N°1,cable sensor pnp calibrador,cable de sensor pnp calibrador partido
21/09/2024,Krupp No1,,SOPLADORA KRUPP N°1,pinza suelta,ajuste de pinza en Krupp 1,50,1,2024,SEPTIEMBRE,,21/09/2024,Krupp No1,SOPLADORA KRUPP N°1,pinza suelta,ajuste de pinza en Krupp 1
21/09/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),NO ARRANCA EL EQUIPO LUEGO DE PARO POR SET DE TEMP,FALLO DE ALGUNA SEÑAL DE CONFIRMACION EN LA SECUENCIA DE INICIO DEL CONTROLADOR,187,1,2024,SEPTIEMBRE,,21/09/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),NO ARRANCA EL EQUIPO LUEGO DE PARO POR SET DE TEMP,FALLO DE ALGUNA SEÑAL DE CONFIRMACION EN LA SECUENCIA DE INICIO DEL CONTROLADOR
22/09/2024,Jabonería Barranquilla,,BANDA TRANSPORTADORA DE JABONERIA A CEDIS,frenado de la BT,acumulación de cajas por desalineación de rodillo BT del Cedis,40,1,2024,SEPTIEMBRE,,22/09/2024,Jabonería Barranquilla,BANDA TRANSPORTADORA DE JABONERIA A CEDIS,frenado de la BT,acumulación de cajas por desalineación de rodillo BT del Cedis
22/09/2024,Jabonería Barranquilla,,COMPRESORA N°1 L1,disminucción de velocidad,"desgaste de los tornillos extrusores ,rápido llenado de la cámara de vacío ,no evacua rápido el jabón lo que se acumula en la cámara",78,1,2024,SEPTIEMBRE,,22/09/2024,Jabonería Barranquilla,COMPRESORA N°1 L1,disminucción de velocidad,"desgaste de los tornillos extrusores ,rápido llenado de la cámara de vacío ,no evacua rápido el jabón lo que se acumula en la cámara"
22/09/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,SE LLENA LA CAMARA DE SECADO AL SUBIR FRECUENCIA A,DESGASTE MECANICO DE LOS TORNILLOS EXTRUSORES,100,1,2024,SEPTIEMBRE,,22/09/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,SE LLENA LA CAMARA DE SECADO AL SUBIR FRECUENCIA A,DESGASTE MECANICO DE LOS TORNILLOS EXTRUSORES
22/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,postizo izquierdo no cierra bien,se baja molde para cuadrar postizo izquierdo ya que no cerraba bien.,480,1,2024,SEPTIEMBRE,,22/09/2024,Krupp No2,SOPLADORA KRUPP N°2,postizo izquierdo no cierra bien,se baja molde para cuadrar postizo izquierdo ya que no cerraba bien.
22/09/2024,Refinación Física Gianazza,,EYECTOR PRIMARIO,Disparo del chiller,Alarma relacionada a servicios,42,1,2024,SEPTIEMBRE,,22/09/2024,Refinación Física Gianazza,EYECTOR PRIMARIO,Disparo del chiller,Alarma relacionada a servicios
23/09/2024,Bidones,,LLENADORA DE BIDONES N°2,FALLA LENADORA,DAÑO EN MANGUERA LLENADORA,25,1,2024,SEPTIEMBRE,,23/09/2024,Bidones,LLENADORA DE BIDONES N°2,FALLA LENADORA,DAÑO EN MANGUERA LLENADORA
23/09/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,DESGASTE DE TORNILLO,DESGASTE EN LOS TORNILLOS DE LA COMPRESORA,67,1,2024,SEPTIEMBRE,,23/09/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,DESGASTE DE TORNILLO,DESGASTE EN LOS TORNILLOS DE LA COMPRESORA
23/09/2024,,,,LIMPIEZA DE CABEZAL,LIMPIEZA DE CABEZAL,31,1,2024,SEPTIEMBRE,,23/09/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,LIMPIEZA DE CABEZAL,LIMPIEZA DE CABEZAL
24/09/2024,Jabonería Barranquilla,,TORRE DE ENFRIAMIENTO MARLEY Nº 2,vacío deficiente en 28.3 pulg Hg,temepratura alta en la pierna barométrica 43°C,80,1,2024,SEPTIEMBRE,,24/09/2024,Jabonería Barranquilla,TORRE DE ENFRIAMIENTO MARLEY Nº 2,vacío deficiente en 28.3 pulg Hg,temepratura alta en la pierna barométrica 43°C
24/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,ROSCA BARRIDA CILINDRO DE APERTURA Y CIERRE PUERTA,ROSCA BARRIDA CILINDRO DE APERTURA Y CIERRE PUERTA,148,1,2024,SEPTIEMBRE,,24/09/2024,Krupp No2,SOPLADORA KRUPP N°2,ROSCA BARRIDA CILINDRO DE APERTURA Y CIERRE PUERTA,ROSCA BARRIDA CILINDRO DE APERTURA Y CIERRE PUERTA
24/09/2024,SBO6,,SOPLADORA SBO6,CAMBIO DE RODAMIENTO FONDO MOLDE #2,CAMBIO DE RODAMIENTO FONDO MOLDE #2,100,1,2024,SEPTIEMBRE,,24/09/2024,SBO6,SOPLADORA SBO6,CAMBIO DE RODAMIENTO FONDO MOLDE #2,CAMBIO DE RODAMIENTO FONDO MOLDE #2
25/09/2024,A2,,BANDA TRANSP DE ACEITES Y GRASAS,AVERIA EN BANDA BT 14,SE PARTE POR LA PEGA,50,1,2024,SEPTIEMBRE,,25/09/2024,A2,BANDA TRANSP DE ACEITES Y GRASAS,AVERIA EN BANDA BT 14,SE PARTE POR LA PEGA
25/09/2024,Jabonería Barranquilla,,COMPRESORA N°3 L1,DESGASTE DE TORNILLO,DESGASTE EN LOS TORNILLOS DE LA COMPRESORA,48,1,2024,SEPTIEMBRE,,25/09/2024,Jabonería Barranquilla,COMPRESORA N°3 L1,DESGASTE DE TORNILLO,DESGASTE EN LOS TORNILLOS DE LA COMPRESORA
25/09/2024,Jabonería Barranquilla,,CÁMARA DE VACIO L1,OBSTRUCCIÓN CONO DE LA CÁMARA,JABON CALIENTE Y BLANDO,120,1,2024,SEPTIEMBRE,,25/09/2024,Jabonería Barranquilla,CÁMARA DE VACIO L1,OBSTRUCCIÓN CONO DE LA CÁMARA,JABON CALIENTE Y BLANDO
25/09/2024,Krupp No1,,BOMBA DE LA TORRE DE ENFRIAMIENTO FACINI N° 1,Daño en la bomba proton,Disparo por bomba de la torre proton,61,1,2024,SEPTIEMBRE,,25/09/2024,Krupp No1,BOMBA DE LA TORRE DE ENFRIAMIENTO FACINI N° 1,Daño en la bomba proton,Disparo por bomba de la torre proton
25/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,Cabezal desacoplado,"Cabezal desacoplado y limpieza de plato rompedor, calentamiento y arranque de linea",480,1,2024,SEPTIEMBRE,,25/09/2024,Krupp No2,SOPLADORA KRUPP N°2,Cabezal desacoplado,"Cabezal desacoplado y limpieza de plato rompedor, calentamiento y arranque de linea"
25/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,bidon bajo de peso,"bidón bajo de peso, el bidón no quiere subir de peso",480,1,2024,SEPTIEMBRE,,25/09/2024,Krupp No2,SOPLADORA KRUPP N°2,bidon bajo de peso,"bidón bajo de peso, el bidón no quiere subir de peso"
25/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,bidón bajo de peso,bidón bajo de peso,298,1,2024,SEPTIEMBRE,,25/09/2024,Krupp No2,SOPLADORA KRUPP N°2,bidón bajo de peso,bidón bajo de peso
25/09/2024,SBO2F,,BOMBA PRINCIPAL DE LA TORRE DE ENFRIAMIENTO TEVA,daño en motor bomba de la torre,disparo de bomba de la torre,90,1,2024,SEPTIEMBRE,,25/09/2024,SBO2F,BOMBA PRINCIPAL DE LA TORRE DE ENFRIAMIENTO TEVA,daño en motor bomba de la torre,disparo de bomba de la torre
26/09/2024,A1,,BANDA TRANSPORTADORAS ENVASE - CEDIS,FALLO BANDA BT 03,DESTENSION EN BANDA,12,1,2024,SEPTIEMBRE,,26/09/2024,A1,BANDA TRANSPORTADORAS ENVASE - CEDIS,FALLO BANDA BT 03,DESTENSION EN BANDA
26/09/2024,,,,limpieza,limpieza de cabezal,30,1,2024,SEPTIEMBRE,,26/09/2024,A1,BANDA TRANSPORTADORAS ENVASE - CEDIS,limpieza,limpieza de cabezal
26/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,bidon bajo de peso,bidón bajo de peso,480,1,2024,SEPTIEMBRE,,26/09/2024,Krupp No2,SOPLADORA KRUPP N°2,bidon bajo de peso,bidón bajo de peso
26/09/2024,Krupp No2,,SOPLADORA KRUPP N°2,presion hidraulica,se ajusta presion hidraulica mtto se lleva electrovalvula,60,1,2024,SEPTIEMBRE,,26/09/2024,Krupp No2,SOPLADORA KRUPP N°2,presion hidraulica,se ajusta presion hidraulica mtto se lleva electrovalvula
26/09/2024,SBO6,,COMPRESOR DE ALTA 4-HA-6LT,Baja presion,baja presion,35,1,2024,SEPTIEMBRE,,26/09/2024,SBO6,COMPRESOR DE ALTA 4-HA-6LT,Baja presion,baja presion
27/09/2024,A2,,BANDA TRANSP DE ACEITES Y GRASAS,Fallo sistema de bandas,fallo sistema de bandas,90,1,2024,SEPTIEMBRE,,27/09/2024,A2,BANDA TRANSP DE ACEITES Y GRASAS,Fallo sistema de bandas,fallo sistema de bandas
27/09/2024,Bidones,,BANDAS TRANSPORTADORAS DE ACEITES Y GRASAS,DAÑO EN BANDA,sE PARTE BANDA BT 06 SALA DE ENVASES,68,1,2024,SEPTIEMBRE,,27/09/2024,Bidones,BANDAS TRANSPORTADORAS DE ACEITES Y GRASAS,DAÑO EN BANDA,sE PARTE BANDA BT 06 SALA DE ENVASES
27/09/2024,Jabonería Barranquilla,,BOMBA DEL HOTWELL,VACÍO DEFICIENTE EN PROCESO,BAJO FLUJO DE LA BOMBA PDTE POR REVISAR,36,1,2024,SEPTIEMBRE,,27/09/2024,Jabonería Barranquilla,BOMBA DEL HOTWELL,VACÍO DEFICIENTE EN PROCESO,BAJO FLUJO DE LA BOMBA PDTE POR REVISAR
27/09/2024,,,,cabezal,limpieza de cabezal,14,1,2024,SEPTIEMBRE,,27/09/2024,Jabonería Barranquilla,BOMBA DEL HOTWELL,cabezal,limpieza de cabezal
27/09/2024,Linea 1 Sólidos Barranquilla,,BANDA TRANSPORTADORA DE ACEITES Y GRASAS,FALLA BANDA BT 06,SE PARTE BANDA BT 06,20,1,2024,SEPTIEMBRE,,27/09/2024,Linea 1 Sólidos Barranquilla,BANDA TRANSPORTADORA DE ACEITES Y GRASAS,FALLA BANDA BT 06,SE PARTE BANDA BT 06
27/09/2024,Refinación Física Gianazza,,BOOSTER,FALLA EN CHILLER,FALLA EN CHILLER,90,1,2024,SEPTIEMBRE,,27/09/2024,Refinación Física Gianazza,BOOSTER,FALLA EN CHILLER,FALLA EN CHILLER
28/09/2024,Jabonería Barranquilla,,BOMBA DEL HOTWELL,VACÍO DEFICIENTE EN PROCESO,BAJO FLUJO DE LA BOMBA PDTE POR REVISAR,36,1,2024,SEPTIEMBRE,,28/09/2024,Jabonería Barranquilla,BOMBA DEL HOTWELL,VACÍO DEFICIENTE EN PROCESO,BAJO FLUJO DE LA BOMBA PDTE POR REVISAR
29/09/2024,Jabonería Barranquilla,,BOMBA DEL HOTWELL,VACÍO DEFICIENTE EN PROCESO,BAJO FLUJO DE LA BOMBA PDTE POR REVISAR,36,1,2024,SEPTIEMBRE,,29/09/2024,Jabonería Barranquilla,BOMBA DEL HOTWELL,VACÍO DEFICIENTE EN PROCESO,BAJO FLUJO DE LA BOMBA PDTE POR REVISAR
29/09/2024,Jabonería Barranquilla,,TORRE DE ENFRIAMIENTO MARLEY Nº 2,SE PIERDE VACIO EN CAMARA DE SECADO,DAÑO EN LA BBA DE LA TORRE GLACIAL,67,1,2024,SEPTIEMBRE,,29/09/2024,Jabonería Barranquilla,TORRE DE ENFRIAMIENTO MARLEY Nº 2,SE PIERDE VACIO EN CAMARA DE SECADO,DAÑO EN LA BBA DE LA TORRE GLACIAL
