FECHA,LINEA,TURNO,EQUIPO,DAÑO,RAZON,TIEMPO,FRECUENCIA,AÑO,MES,,,,,,
10/01/2024,Krupp No1,,SOPLADORA KRUPP N°1,Desajuste de reja derecha,Se sale reja del cilindro neumático,20,1,2024,ENERO,,10/01/2024,Krupp No1,SOPLADORA KRUPP N°1,Desajuste de reja derecha,Se sale reja del cilindro neumático
10/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,20,1,2024,ENERO,,10/01/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
10/01/2024,Refinación Física Gianazza,,BOMBA DE ACEITE DESAIREADO (P4272),pérdida de presión,cambio de bomba por bomba auxiliar,125,1,2024,ENERO,,10/01/2024,Refinación Física Gianazza,BOMBA DE ACEITE DESAIREADO (P4272),pérdida de presión,cambio de bomba por bomba auxiliar
10/01/2024,Refinación Física Gianazza,,BOMBA DE ACEITE DESAIREADO (P4272),pérdida de presión,fuga de producto,31,1,2024,ENERO,,10/01/2024,Refinación Física Gianazza,BOMBA DE ACEITE DESAIREADO (P4272),pérdida de presión,fuga de producto
11/01/2024,Jabonería Barranquilla,,BOMBA DE ALIMENTACIÓN L1,pérdida de caudal,piñón con desgaste y fuga de producto,89,1,2024,ENERO,,11/01/2024,Jabonería Barranquilla,BOMBA DE ALIMENTACIÓN L1,pérdida de caudal,piñón con desgaste y fuga de producto
11/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,63,2,2024,ENERO,,11/01/2024,Jabonería Barranquilla,BOMBA DE ALIMENTACIÓN L1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
11/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Fuga de agua por postizo del molde,Fuga de agua por asa del molde,49,1,2024,ENERO,,11/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Fuga de agua por postizo del molde,Fuga de agua por asa del molde
11/01/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),PERDIDA DE NIVEL DE AGUA DESMINERALIZADA,FUGAS MINIMAS EN EL CIRCUITO,229,1,2024,ENERO,,11/01/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),PERDIDA DE NIVEL DE AGUA DESMINERALIZADA,FUGAS MINIMAS EN EL CIRCUITO
11/01/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),no arranca,bajo nivel de agua,192,1,2024,ENERO,,11/01/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),no arranca,bajo nivel de agua
11/01/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),no arranca,bajo nivel de agua de la caldera Wanson,480,1,2024,ENERO,,11/01/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),no arranca,bajo nivel de agua de la caldera Wanson
11/01/2024,SBO2F,,SOPLADORA SBO2F,Daño tubería en presoplado puesto 2,Rosca barrida en tubería de electroválvula de presoplado,120,1,2024,ENERO,,11/01/2024,SBO2F,SOPLADORA SBO2F,Daño tubería en presoplado puesto 2,Rosca barrida en tubería de electroválvula de presoplado
11/01/2024,SBO2F,,SOPLADORA SBO2F,Falla electroválvula de presoplado puesto 2,Máquina no hace presoplado por falla de válvula,180,1,2024,ENERO,,11/01/2024,SBO2F,SOPLADORA SBO2F,Falla electroválvula de presoplado puesto 2,Máquina no hace presoplado por falla de válvula
12/01/2024,Jabonería Barranquilla,,BOMBA DEL HOTWELL,bajo caudal,fuga excesiva por el sello mecánico,209,1,2024,ENERO,,12/01/2024,Jabonería Barranquilla,BOMBA DEL HOTWELL,bajo caudal,fuga excesiva por el sello mecánico
12/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,81,2,2024,ENERO,,12/01/2024,Jabonería Barranquilla,BOMBA DEL HOTWELL,Limpieza de cabezal por fuga de material,Limpieza de cabezal
12/01/2024,SBO2F,,SOPLADORA SBO2F,Daño tubería de presoplado puesto 2,"Rosca barrida en tubería, se llevó a taller externo para reparación y se cambio por una manguera temporalmente",416,1,2024,ENERO,,12/01/2024,SBO2F,SOPLADORA SBO2F,Daño tubería de presoplado puesto 2,"Rosca barrida en tubería, se llevó a taller externo para reparación y se cambio por una manguera temporalmente"
13/01/2024,Bidones,,LLENADORA DE BIDONES N°1,manguera partida,manguera partida,25,1,2024,ENERO,,13/01/2024,Bidones,LLENADORA DE BIDONES N°1,manguera partida,manguera partida
13/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza del cabezal,60,2,2024,ENERO,,13/01/2024,Bidones,LLENADORA DE BIDONES N°1,Limpieza de cabezal por fuga de material,Limpieza del cabezal
14/01/2024,A2,,BANDAS TRANSP. DE ENVASE - CEDIS,intrevención motorreductor banda cedis,intervención motorreductor banda cedis,45,1,2024,ENERO,,14/01/2024,A2,BANDAS TRANSP. DE ENVASE - CEDIS,intrevención motorreductor banda cedis,intervención motorreductor banda cedis
14/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,53,1,2024,ENERO,,14/01/2024,A2,BANDAS TRANSP. DE ENVASE - CEDIS,Limpieza de cabezal por fuga de material,Limpieza de cabezal
14/01/2024,Linea 1 Sólidos Barranquilla,,MOLDEADORA SIG L1,fallo en calentamiento cortador de grasa máquina d,fallo en calentamiento cortador de grasa máquina de vasos,59,1,2024,ENERO,,14/01/2024,Linea 1 Sólidos Barranquilla,MOLDEADORA SIG L1,fallo en calentamiento cortador de grasa máquina d,fallo en calentamiento cortador de grasa máquina de vasos
15/01/2024,Krupp No1,,SOPLADORA KRUPP N°1,Falla comunicación del PLC,PLC se encontraba en stop y no comunicaba con el computador,60,1,2024,ENERO,,15/01/2024,Krupp No1,SOPLADORA KRUPP N°1,Falla comunicación del PLC,PLC se encontraba en stop y no comunicaba con el computador
15/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,25,1,2024,ENERO,,15/01/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
15/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Ajuste de reja derecha,Base suelta en sensor de la reja,30,1,2024,ENERO,,15/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Ajuste de reja derecha,Base suelta en sensor de la reja
15/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Ajuste de reja derecha,Se sale reja del riel,35,1,2024,ENERO,,15/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Ajuste de reja derecha,Se sale reja del riel
15/01/2024,Linea 1 Sólidos Barranquilla,,MOLDEADORA SIG L1,pin del piston partido maquina de vasos,pin del piston dosificador partido maquina de vasos,120,1,2024,ENERO,,15/01/2024,Linea 1 Sólidos Barranquilla,MOLDEADORA SIG L1,pin del piston partido maquina de vasos,pin del piston dosificador partido maquina de vasos
15/01/2024,SBO6,,SOPLADORA SBO6,Fuga de agua por conector de molde,Conector en mal estado,20,1,2024,ENERO,,15/01/2024,SBO6,SOPLADORA SBO6,Fuga de agua por conector de molde,Conector en mal estado
16/01/2024,A2,,BOMBA DE ALIMENTACIÓN LLENADORA A2,fallo en sistema de llenado (no abria actuador),fallo en sistema de llenado (no abria actuador),120,1,2024,ENERO,,16/01/2024,A2,BOMBA DE ALIMENTACIÓN LLENADORA A2,fallo en sistema de llenado (no abria actuador),fallo en sistema de llenado (no abria actuador)
16/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,17,1,2024,ENERO,,16/01/2024,A2,BOMBA DE ALIMENTACIÓN LLENADORA A2,Limpieza de cabezal por fuga de material,Limpieza de cabezal
17/01/2024,A2,,BANDA TRANSP. CONTROL DE PESO A2,banda detenida,banda detenida,75,1,2024,ENERO,,17/01/2024,A2,BANDA TRANSP. CONTROL DE PESO A2,banda detenida,banda detenida
17/01/2024,Krupp No1,,SOPLADORA KRUPP N°1,Daño termopozo de potenciometro del acumulador,Se parte vástago del termopozo,30,1,2024,ENERO,,17/01/2024,Krupp No1,SOPLADORA KRUPP N°1,Daño termopozo de potenciometro del acumulador,Se parte vástago del termopozo
17/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,50,2,2024,ENERO,,17/01/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
17/01/2024,SBO2F,,SOPLADORA SBO2F,Falla electroválvula de presoplado puesto 2,Falso contacto en conector eléctrico,15,1,2024,ENERO,,17/01/2024,SBO2F,SOPLADORA SBO2F,Falla electroválvula de presoplado puesto 2,Falso contacto en conector eléctrico
17/01/2024,SBO2F,,SOPLADORA SBO2F,Falla en electroválvula de presoplado puesto 2,"Actuador de la electroválvula en mal estado, se cambio actuador y queda ok",97,1,2024,ENERO,,17/01/2024,SBO2F,SOPLADORA SBO2F,Falla en electroválvula de presoplado puesto 2,"Actuador de la electroválvula en mal estado, se cambio actuador y queda ok"
18/01/2024,Jabonería Barranquilla,,BANDA TRANSPORTADORA DE EMPAQUE DE JABONES,BANDA TABLETOP DAÑADA,ROTURA DE CADENAS DE TRANSMISION,111,1,2024,ENERO,,18/01/2024,Jabonería Barranquilla,BANDA TRANSPORTADORA DE EMPAQUE DE JABONES,BANDA TABLETOP DAÑADA,ROTURA DE CADENAS DE TRANSMISION
18/01/2024,Jabonería Barranquilla,,BANDA TRANSPORTADORA DE EMPAQUE DE JABONES,Se sale cadena que acopla la banda de empaque de J,Cadena floja de los rodamientos en la banda.,53,1,2024,ENERO,,18/01/2024,Jabonería Barranquilla,BANDA TRANSPORTADORA DE EMPAQUE DE JABONES,Se sale cadena que acopla la banda de empaque de J,Cadena floja de los rodamientos en la banda.
